prompt,completion
"Startup: CodeMentor\nCategory: SaaS\nDesired fund: 90000\nCurrent fund: 45000\nStatus: active\nDescription: Mentor matching with code review tools","Attractiveness: 73\nRisk: Medium\nReason: niche demand, monetization viable"
"Startup: UrbanGardens\nCategory: Agriculture\nDesired fund: 70000\nCurrent fund: 10000\nStatus: active\nDescription: Smart planters for balconies","Attractiveness: 57\nRisk: Medium\nReason: consumer hardware, marketing heavy"
"Startup: RideSafe\nCategory: Mobility\nDesired fund: 95000\nCurrent fund: 25000\nStatus: active\nDescription: Safety scoring for drivers","Attractiveness: 65\nRisk: Medium\nReason: partnerships required with platforms"
"Startup: MoneyMap\nCategory: FinTech\nDesired fund: 140000\nCurrent fund: 50000\nStatus: active\nDescription: Budgeting with AI spending insights","Attractiveness: 72\nRisk: Medium\nReason: strong demand, trust building essential"
"Startup: MedScan\nCategory: HealthTech\nDesired fund: 200000\nCurrent fund: 90000\nStatus: active\nDescription: AI diagnostics for clinics","Attractiveness: 76\nRisk: Medium\nReason: clinical validation required"
"Startup: EventPilot\nCategory: SaaS\nDesired fund: 80000\nCurrent fund: 35000\nStatus: active\nDescription: Event management software for universities","Attractiveness: 69\nRisk: Medium\nReason: B2B sales cycles"
"Startup: GreenPack\nCategory: Environment\nDesired fund: 60000\nCurrent fund: 15000\nStatus: active\nDescription: Eco-friendly packaging","Attractiveness: 63\nRisk: Medium\nReason: production partnerships needed"
"Startup: ShopLink\nCategory: E-commerce\nDesired fund: 50000\nCurrent fund: 25000\nStatus: active\nDescription: Social shopping with referrals","Attractiveness: 61\nRisk: Medium\nReason: differentiation needed"
"Startup: AgroDrone\nCategory: Agriculture\nDesired fund: 130000\nCurrent fund: 40000\nStatus: active\nDescription: Drone spraying analytics","Attractiveness: 71\nRisk: Medium\nReason: clear value, regulatory flight rules"
"Startup: MentorAI\nCategory: Education\nDesired fund: 90000\nCurrent fund: 30000\nStatus: active\nDescription: AI career guidance","Attractiveness: 70\nRisk: Medium\nReason: promising, needs validation"
"Startup: ChainGuard\nCategory: Cybersecurity\nDesired fund: 150000\nCurrent fund: 60000\nStatus: active\nDescription: Supply chain security analytics","Attractiveness: 74\nRisk: Medium\nReason: enterprise ready, long sales"
"Startup: BioFarm\nCategory: BioTech\nDesired fund: 250000\nCurrent fund: 40000\nStatus: active\nDescription: Biotech fertilizers","Attractiveness: 58\nRisk: High\nReason: regulatory and production scale"
"Startup: CityCycle\nCategory: Mobility\nDesired fund: 120000\nCurrent fund: 30000\nStatus: active\nDescription: Campus bike sharing","Attractiveness: 62\nRisk: Medium\nReason: ops heavy, network effects"
"Startup: QuickMed\nCategory: HealthTech\nDesired fund: 100000\nCurrent fund: 70000\nStatus: active\nDescription: Quick appointment booking","Attractiveness: 73\nRisk: Medium\nReason: solid need, competition exists"
"Startup: TutorPlus\nCategory: Education\nDesired fund: 40000\nCurrent fund: 20000\nStatus: active\nDescription: Micro-classes with quizzes","Attractiveness: 66\nRisk: Medium\nReason: product differentiation needed"
"Startup: SmartGrid\nCategory: CleanEnergy\nDesired fund: 300000\nCurrent fund: 100000\nStatus: active\nDescription: Grid optimization software","Attractiveness: 77\nRisk: Medium\nReason: strong ROI, complex integration"
"Startup: FarmLink\nCategory: Agriculture\nDesired fund: 80000\nCurrent fund: 20000\nStatus: active\nDescription: Farm produce marketplace","Attractiveness: 63\nRisk: Medium\nReason: logistics dependency"
"Startup: CareConnect\nCategory: HealthTech\nDesired fund: 130000\nCurrent fund: 50000\nStatus: active\nDescription: Patient engagement platform","Attractiveness: 71\nRisk: Medium\nReason: integration with hospital systems"
"Startup: TravelNest\nCategory: Travel\nDesired fund: 60000\nCurrent fund: 15000\nStatus: active\nDescription: Affordable stays network","Attractiveness: 60\nRisk: Medium\nReason: partner acquisition needed"
"Startup: GameBoost\nCategory: Gaming\nDesired fund: 50000\nCurrent fund: 10000\nStatus: pending\nDescription: Booster tools for streamers","Attractiveness: 55\nRisk: Medium\nReason: niche, monetization uncertain"
"Startup: NewsPulse\nCategory: Media\nDesired fund: 70000\nCurrent fund: 20000\nStatus: active\nDescription: Personalized news feed","Attractiveness: 62\nRisk: Medium\nReason: competition and retention"
"Startup: SecureID\nCategory: Cybersecurity\nDesired fund: 190000\nCurrent fund: 80000\nStatus: active\nDescription: Identity verification API","Attractiveness: 75\nRisk: Medium\nReason: strong demand, compliance workload"
"Startup: MarketPro\nCategory: Marketplace\nDesired fund: 70000\nCurrent fund: 35000\nStatus: active\nDescription: B2B services marketplace","Attractiveness: 64\nRisk: Medium\nReason: differentiation and CAC"
"Startup: VitaScan\nCategory: HealthTech\nDesired fund: 210000\nCurrent fund: 120000\nStatus: active\nDescription: Wearable vitals monitor","Attractiveness: 79\nRisk: Medium\nReason: good traction, medical certification required"
"Startup: ClassMate\nCategory: Education\nDesired fund: 50000\nCurrent fund: 25000\nStatus: active\nDescription: Class scheduling assistant","Attractiveness: 65\nRisk: Medium\nReason: utility, needs adoption"
"Startup: FinGuard\nCategory: FinTech\nDesired fund: 160000\nCurrent fund: 60000\nStatus: active\nDescription: Fraud detection toolkit","Attractiveness: 76\nRisk: Medium\nReason: high value, integration complexity"
"Startup: AgroTrack\nCategory: Agriculture\nDesired fund: 90000\nCurrent fund: 50000\nStatus: active\nDescription: Crop tracking app","Attractiveness: 68\nRisk: Medium\nReason: tangible benefits, scaling required"
"Startup: EcoWash\nCategory: Environment\nDesired fund: 70000\nCurrent fund: 20000\nStatus: active\nDescription: Water-saving laundries","Attractiveness: 61\nRisk: Medium\nReason: ops heavy"
"Startup: ShopAI\nCategory: E-commerce\nDesired fund: 120000\nCurrent fund: 60000\nStatus: active\nDescription: AI product recommendations","Attractiveness: 73\nRisk: Medium\nReason: competitive edge possible"
"Startup: RideLink\nCategory: Mobility\nDesired fund: 100000\nCurrent fund: 50000\nStatus: active\nDescription: Ride pooling optimizer","Attractiveness: 67\nRisk: Medium\nReason: platform partnerships needed"
"Startup: BioSense\nCategory: BioTech\nDesired fund: 280000\nCurrent fund: 60000\nStatus: active\nDescription: Biosensor diagnostics","Attractiveness: 60\nRisk: High\nReason: lab validation and scale"
"Startup: MentorLoop\nCategory: Education\nDesired fund: 80000\nCurrent fund: 30000\nStatus: active\nDescription: Mentor matching network","Attractiveness: 69\nRisk: Medium\nReason: network effects required"
"Startup: MedAssist\nCategory: HealthTech\nDesired fund: 150000\nCurrent fund: 70000\nStatus: active\nDescription: AI medical assistant","Attractiveness: 78\nRisk: Medium\nReason: clinical validation"
"Startup: CitySolar\nCategory: CleanEnergy\nDesired fund: 200000\nCurrent fund: 80000\nStatus: active\nDescription: Solar rooftops aggregator","Attractiveness: 72\nRisk: Medium\nReason: ops logistics, partnerships"
"Startup: AgroAI\nCategory: Agriculture\nDesired fund: 100000\nCurrent fund: 50000\nStatus: active\nDescription: Yield prediction models","Attractiveness: 74\nRisk: Medium\nReason: strong technical foundation"
"Startup: SecureMail\nCategory: Cybersecurity\nDesired fund: 130000\nCurrent fund: 60000\nStatus: active\nDescription: Encrypted mail service","Attractiveness: 66\nRisk: Medium\nReason: differentiation needed"
"Startup: TutorHub\nCategory: Education\nDesired fund: 60000\nCurrent fund: 20000\nStatus: active\nDescription: Tutor marketplace","Attractiveness: 63\nRisk: Medium\nReason: CAC and quality control"
"Startup: HealthSync\nCategory: HealthTech\nDesired fund: 170000\nCurrent fund: 90000\nStatus: active\nDescription: Health record sync","Attractiveness: 75\nRisk: Medium\nReason: integration with providers"
"Startup: ShopFlow\nCategory: E-commerce\nDesired fund: 90000\nCurrent fund: 30000\nStatus: active\nDescription: Checkout optimization","Attractiveness: 68\nRisk: Medium\nReason: measurable ROI"
