distance_km,duration_min,climatisation,depart,arrivee,jour_semaine,heure,prix
295,382,0,Tunis,Nabeul,vendredi,11:00,126.17
71,72,0,Ariana,Tunis,mardi,09:00,30.0
51,52,1,Tunis,Monastir,dimanche,19:00,25.11
297,320,1,Sfax,Tunis,jeudi,06:00,121.35
32,34,0,Nabeul,Tunis,jeudi,19:00,13.39
113,105,0,Monastir,Ariana,jeudi,12:00,44.47
207,282,0,Sousse,Ariana,samedi,08:00,94.92
24,31,0,Sousse,Nabeul,jeudi,15:00,11.59
240,274,0,Bizerte,Sousse,vendredi,16:00,100.01
298,244,1,Nabeul,Bizerte,samedi,10:00,120.23
19,20,1,Bizerte,Ariana,samedi,07:00,18.21
168,172,0,Monastir,Ariana,lundi,13:00,66.63
225,261,0,Tunis,Sfax,jeudi,17:00,95.13
56,58,0,Tunis,Sousse,mardi,13:00,23.07
139,112,0,Tunis,Nabeul,dimanche,14:00,54.87
292,294,0,Sfax,Bizerte,vendredi,07:00,126.72
263,353,1,Tunis,Ariana,mercredi,13:00,111.09
227,261,1,Bizerte,Sfax,lundi,18:00,96.32
219,255,0,Nabeul,Bizerte,jeudi,08:00,94.37
142,192,1,Tunis,Sousse,lundi,16:00,63.65
136,121,1,Monastir,Sousse,jeudi,11:00,54.71
60,74,1,Tunis,Sfax,lundi,21:00,26.42
223,300,0,Sfax,Tunis,dimanche,19:00,96.86
158,162,0,Bizerte,Monastir,lundi,18:00,68.19
146,134,0,Sfax,Ariana,mardi,18:00,63.08
84,113,0,Monastir,Bizerte,dimanche,20:00,31.57
219,238,0,Bizerte,Sfax,vendredi,17:00,93.3
260,229,1,Ariana,Sousse,jeudi,13:00,104.06
34,37,1,Sousse,Bizerte,jeudi,08:00,18.67
163,131,0,Monastir,Sousse,jeudi,18:00,68.96
58,52,1,Ariana,Nabeul,jeudi,16:00,28.31
72,100,0,Nabeul,Sfax,mercredi,08:00,31.76
266,262,1,Monastir,Sfax,jeudi,21:00,107.03
220,222,1,Bizerte,Tunis,dimanche,14:00,91.11
294,345,0,Tunis,Monastir,samedi,17:00,131.0
27,26,0,Bizerte,Sousse,lundi,11:00,9.09
184,205,1,Sfax,Bizerte,mercredi,10:00,73.53
175,220,1,Sfax,Monastir,mardi,10:00,72.39
273,359,0,Monastir,Sfax,jeudi,18:00,116.26
171,178,0,Ariana,Sousse,dimanche,20:00,70.13
64,57,1,Tunis,Monastir,lundi,11:00,26.86
256,243,0,Ariana,Sousse,mercredi,15:00,103.29
264,214,1,Nabeul,Ariana,vendredi,07:00,113.32
60,71,0,Bizerte,Nabeul,dimanche,11:00,21.73
273,234,1,Ariana,Bizerte,dimanche,12:00,109.27
174,153,1,Monastir,Nabeul,dimanche,19:00,70.64
232,230,1,Nabeul,Tunis,jeudi,06:00,95.19
197,240,0,Sousse,Nabeul,jeudi,07:00,83.07
206,207,1,Tunis,Sfax,mardi,14:00,83.76
128,122,0,Sousse,Tunis,dimanche,15:00,52.53
265,299,1,Monastir,Ariana,lundi,20:00,109.15
289,251,1,Tunis,Bizerte,lundi,06:00,116.41
129,179,0,Monastir,Sousse,lundi,15:00,53.6
124,137,0,Monastir,Ariana,jeudi,19:00,52.27
49,59,0,Ariana,Sousse,dimanche,15:00,19.17
244,256,1,Nabeul,Ariana,mercredi,19:00,99.57
38,34,0,Sousse,Nabeul,samedi,12:00,19.43
137,119,1,Sfax,Sousse,samedi,11:00,59.71
50,48,0,Monastir,Sfax,vendredi,21:00,22.8
85,78,1,Sousse,Sfax,vendredi,10:00,34.78
36,48,1,Nabeul,Sousse,dimanche,12:00,15.64
246,294,0,Nabeul,Sfax,lundi,20:00,102.07
182,237,0,Monastir,Sousse,lundi,12:00,76.13
73,73,1,Tunis,Bizerte,mercredi,18:00,31.65
202,171,1,Sousse,Sfax,samedi,07:00,87.91
173,213,0,Ariana,Sfax,samedi,15:00,76.01
241,274,1,Ariana,Sfax,mercredi,09:00,100.83
78,85,1,Tunis,Sfax,mardi,21:00,33.37
45,50,0,Nabeul,Bizerte,dimanche,11:00,17.39
210,265,0,Nabeul,Sfax,jeudi,18:00,90.93
82,69,0,Monastir,Ariana,vendredi,14:00,37.63
113,119,0,Monastir,Bizerte,mercredi,15:00,44.44
140,118,1,Tunis,Sousse,lundi,08:00,59.27
21,21,1,Monastir,Sousse,mardi,20:00,11.79
26,35,0,Monastir,Nabeul,vendredi,16:00,12.55
89,117,1,Monastir,Tunis,samedi,19:00,42.07
158,198,0,Monastir,Sousse,mardi,07:00,70.45
34,45,1,Tunis,Ariana,mercredi,21:00,16.84
152,184,0,Bizerte,Tunis,vendredi,15:00,66.04
291,331,1,Monastir,Sousse,mardi,19:00,120.71
279,243,0,Tunis,Monastir,mercredi,20:00,110.47
224,286,0,Bizerte,Tunis,mardi,08:00,96.38
112,92,0,Tunis,Sousse,samedi,19:00,48.15
107,142,0,Tunis,Nabeul,vendredi,09:00,44.53
192,200,0,Bizerte,Sousse,mardi,14:00,77.82
219,243,0,Tunis,Nabeul,mardi,21:00,85.91
117,109,0,Tunis,Ariana,mardi,16:00,46.78
260,344,0,Nabeul,Sfax,mardi,19:00,108.17
283,385,0,Ariana,Sousse,jeudi,11:00,118.26
281,372,0,Monastir,Sousse,mercredi,19:00,116.12
275,235,0,Bizerte,Sousse,samedi,16:00,113.37
186,161,1,Nabeul,Monastir,mardi,17:00,78.37
167,219,1,Tunis,Monastir,mercredi,19:00,68.5
149,204,0,Sfax,Monastir,dimanche,13:00,60.54
70,66,1,Nabeul,Ariana,samedi,09:00,34.28
20,26,1,Ariana,Monastir,dimanche,07:00,13.98
162,201,1,Sousse,Sfax,mardi,14:00,70.5
116,105,1,Monastir,Bizerte,jeudi,12:00,50.28
250,343,1,Monastir,Sousse,mercredi,17:00,109.91
56,52,0,Sfax,Monastir,vendredi,09:00,24.95
108,125,0,Ariana,Sousse,jeudi,15:00,43.49
187,204,0,Sfax,Tunis,lundi,11:00,73.89
225,301,0,Ariana,Sfax,mercredi,07:00,96.74
98,113,1,Ariana,Nabeul,jeudi,09:00,40.89
107,114,1,Tunis,Monastir,mercredi,14:00,44.23
146,120,1,Bizerte,Ariana,vendredi,15:00,61.52
179,230,1,Monastir,Bizerte,samedi,07:00,83.34
235,245,0,Nabeul,Ariana,mercredi,17:00,98.84
47,44,0,Nabeul,Ariana,jeudi,20:00,18.72
46,42,0,Monastir,Bizerte,vendredi,06:00,20.25
293,247,0,Sousse,Bizerte,dimanche,13:00,116.26
65,77,1,Monastir,Sousse,vendredi,06:00,31.65
246,305,1,Ariana,Tunis,jeudi,21:00,104.24
68,89,0,Tunis,Sfax,vendredi,16:00,32.91
278,362,0,Ariana,Nabeul,mercredi,19:00,114.01
142,188,1,Monastir,Ariana,dimanche,18:00,65.99
258,210,0,Bizerte,Nabeul,mercredi,20:00,101.14
91,117,1,Ariana,Bizerte,jeudi,16:00,39.47
86,94,0,Tunis,Ariana,mardi,15:00,35.78
232,238,1,Tunis,Sfax,lundi,21:00,92.26
172,150,0,Sousse,Nabeul,mardi,08:00,72.07
233,303,1,Tunis,Bizerte,mercredi,13:00,101.07
69,62,0,Sousse,Monastir,jeudi,07:00,30.58
228,205,1,Sousse,Bizerte,samedi,07:00,99.34
202,168,1,Tunis,Ariana,mardi,11:00,80.26
16,13,0,Tunis,Sousse,dimanche,14:00,6.82
143,146,1,Sousse,Tunis,mardi,12:00,60.45
35,31,1,Ariana,Nabeul,mercredi,09:00,17.42
294,401,0,Ariana,Sousse,mercredi,08:00,125.11
294,357,1,Sfax,Bizerte,dimanche,18:00,126.48
297,252,1,Sousse,Monastir,vendredi,08:00,124.82
204,279,1,Ariana,Monastir,vendredi,07:00,93.82
101,125,0,Bizerte,Monastir,jeudi,10:00,44.37
271,340,0,Sfax,Tunis,lundi,06:00,110.24
266,263,1,Monastir,Bizerte,dimanche,13:00,107.18
290,356,1,Bizerte,Monastir,mercredi,17:00,124.3
280,303,0,Monastir,Nabeul,lundi,14:00,113.66
88,94,1,Monastir,Sousse,lundi,21:00,38.19
208,244,1,Monastir,Bizerte,vendredi,17:00,94.77
55,59,1,Ariana,Bizerte,mardi,11:00,23.81
215,249,1,Monastir,Sfax,lundi,06:00,88.69
175,163,1,Monastir,Ariana,dimanche,06:00,74.1
223,256,0,Sfax,Ariana,samedi,21:00,91.67
73,78,1,Monastir,Ariana,dimanche,12:00,34.4
286,241,1,Sousse,Bizerte,lundi,06:00,114.64
175,170,0,Tunis,Sousse,mardi,19:00,69.64
226,297,1,Sousse,Bizerte,samedi,18:00,103.34
188,162,0,Sousse,Bizerte,samedi,13:00,77.6
85,118,1,Sfax,Bizerte,dimanche,15:00,37.63
101,123,1,Monastir,Sousse,samedi,15:00,45.93
251,249,1,Ariana,Sfax,lundi,18:00,107.83
86,72,1,Sfax,Ariana,vendredi,07:00,42.84
112,98,0,Nabeul,Tunis,vendredi,09:00,48.05
152,139,0,Sfax,Nabeul,samedi,21:00,61.68
132,108,1,Ariana,Sousse,samedi,21:00,58.81
50,61,1,Sousse,Bizerte,lundi,06:00,24.84
187,219,1,Sousse,Tunis,vendredi,16:00,82.97
16,19,1,Bizerte,Ariana,mercredi,19:00,7.75
31,33,0,Ariana,Bizerte,lundi,13:00,15.03
21,19,0,Sousse,Tunis,jeudi,21:00,7.61
34,44,1,Tunis,Ariana,dimanche,18:00,19.57
182,165,0,Sfax,Tunis,jeudi,21:00,68.91
192,158,1,Tunis,Monastir,samedi,09:00,82.69
159,158,1,Ariana,Sfax,mardi,06:00,66.2
68,80,1,Monastir,Sousse,samedi,16:00,30.75
216,206,1,Monastir,Sfax,lundi,20:00,87.19
222,274,0,Monastir,Nabeul,dimanche,12:00,91.98
229,234,1,Ariana,Sfax,dimanche,07:00,99.4
161,181,0,Monastir,Tunis,dimanche,16:00,63.06
126,130,1,Tunis,Sousse,samedi,18:00,62.6
75,86,1,Sousse,Sfax,vendredi,11:00,33.1
195,262,1,Bizerte,Ariana,jeudi,19:00,82.49
140,164,1,Sfax,Tunis,vendredi,06:00,61.47
291,357,1,Tunis,Sousse,dimanche,10:00,122.63
96,113,1,Bizerte,Sfax,samedi,18:00,48.21
120,138,0,Ariana,Sousse,mercredi,17:00,54.66
93,107,1,Sfax,Monastir,mardi,11:00,37.91
37,35,0,Monastir,Nabeul,mardi,12:00,16.31
270,268,1,Sfax,Nabeul,jeudi,14:00,107.47
296,278,0,Sfax,Tunis,samedi,11:00,122.82
127,114,1,Sousse,Nabeul,mercredi,17:00,59.08
266,284,1,Sfax,Bizerte,dimanche,09:00,108.42
180,246,0,Ariana,Sfax,mercredi,20:00,74.78
130,151,0,Sfax,Ariana,samedi,08:00,59.53
213,231,0,Monastir,Sousse,samedi,17:00,92.4
216,245,0,Monastir,Nabeul,jeudi,11:00,90.54
139,121,0,Monastir,Ariana,mercredi,16:00,54.5
254,216,0,Sfax,Bizerte,jeudi,07:00,102.15
188,155,1,Sousse,Ariana,mercredi,17:00,78.83
260,208,1,Nabeul,Monastir,lundi,11:00,99.72
226,267,0,Sousse,Bizerte,mercredi,08:00,94.13
187,188,1,Monastir,Sfax,vendredi,06:00,80.61
160,130,0,Sfax,Tunis,vendredi,09:00,64.4
138,170,0,Sousse,Sfax,dimanche,09:00,57.56
14,19,0,Monastir,Bizerte,samedi,11:00,10.16
227,232,1,Ariana,Sfax,samedi,07:00,100.79
123,116,1,Nabeul,Monastir,jeudi,21:00,51.15
85,73,0,Nabeul,Bizerte,lundi,07:00,38.98
298,345,0,Bizerte,Ariana,dimanche,06:00,119.92
78,89,1,Sousse,Nabeul,mercredi,21:00,36.2
229,205,1,Tunis,Bizerte,jeudi,18:00,97.91
82,70,0,Sfax,Ariana,lundi,19:00,31.82
107,111,1,Ariana,Sfax,lundi,18:00,48.83
91,120,0,Sousse,Nabeul,vendredi,21:00,42.0
138,120,1,Monastir,Nabeul,dimanche,08:00,58.29
74,75,0,Sfax,Nabeul,mardi,15:00,31.4
152,185,1,Nabeul,Monastir,mardi,12:00,67.77
233,238,1,Nabeul,Tunis,jeudi,12:00,97.12
111,93,0,Sousse,Ariana,vendredi,10:00,47.18
274,281,1,Sfax,Sousse,lundi,06:00,110.38
126,162,0,Ariana,Sfax,lundi,10:00,50.12
237,276,1,Ariana,Bizerte,vendredi,08:00,103.28
30,27,0,Monastir,Ariana,mardi,06:00,12.04
60,50,0,Ariana,Monastir,samedi,10:00,27.07
150,151,1,Monastir,Nabeul,mardi,11:00,62.64
61,73,0,Sfax,Nabeul,mercredi,09:00,23.33
248,277,1,Ariana,Monastir,jeudi,06:00,104.03
155,161,0,Tunis,Nabeul,vendredi,11:00,62.94
141,182,1,Monastir,Bizerte,mercredi,20:00,61.28
83,106,0,Sfax,Ariana,jeudi,15:00,32.9
80,78,0,Sousse,Bizerte,mardi,15:00,29.51
45,47,1,Nabeul,Bizerte,jeudi,11:00,20.76
272,350,1,Monastir,Tunis,lundi,11:00,114.89
150,174,1,Sousse,Nabeul,samedi,17:00,69.56
286,380,0,Tunis,Ariana,lundi,19:00,119.97
130,169,1,Nabeul,Sousse,dimanche,19:00,57.69
161,162,1,Sfax,Ariana,vendredi,06:00,68.16
161,208,1,Monastir,Sousse,lundi,21:00,67.16
176,211,1,Ariana,Tunis,samedi,13:00,76.3
251,223,0,Sousse,Nabeul,samedi,15:00,102.65
117,154,0,Sfax,Tunis,mercredi,08:00,50.68
152,142,0,Sousse,Bizerte,mardi,15:00,60.52
169,199,0,Bizerte,Monastir,mercredi,14:00,71.29
263,232,1,Monastir,Sfax,vendredi,11:00,106.12
272,331,0,Monastir,Nabeul,lundi,12:00,108.95
250,202,1,Nabeul,Monastir,mardi,17:00,100.64
197,254,1,Tunis,Nabeul,lundi,12:00,84.5
176,222,1,Bizerte,Nabeul,vendredi,12:00,80.14
241,286,1,Sfax,Sousse,dimanche,06:00,99.78
79,80,1,Ariana,Bizerte,lundi,18:00,36.13
278,308,1,Bizerte,Sfax,samedi,09:00,116.92
169,189,1,Sfax,Ariana,dimanche,13:00,70.91
209,248,1,Ariana,Nabeul,mercredi,16:00,87.18
139,194,1,Bizerte,Sousse,mardi,20:00,58.04
111,125,1,Bizerte,Nabeul,dimanche,17:00,48.17
159,180,1,Sousse,Bizerte,samedi,14:00,68.71
296,370,0,Bizerte,Ariana,jeudi,15:00,120.73
130,168,1,Ariana,Bizerte,samedi,16:00,59.02
154,150,1,Ariana,Sfax,lundi,11:00,62.6
113,91,1,Nabeul,Sousse,jeudi,09:00,43.99
257,288,0,Sousse,Nabeul,vendredi,13:00,106.38
240,316,0,Ariana,Sousse,mardi,15:00,100.21
281,310,1,Tunis,Sousse,mercredi,15:00,114.24
75,77,1,Monastir,Sfax,mardi,06:00,30.77
258,292,0,Sousse,Bizerte,lundi,16:00,104.07
163,189,0,Bizerte,Tunis,samedi,19:00,70.72
271,366,0,Tunis,Ariana,dimanche,11:00,115.68
253,234,0,Bizerte,Ariana,vendredi,07:00,110.09
58,50,1,Monastir,Nabeul,lundi,16:00,27.01
167,205,0,Tunis,Sfax,dimanche,12:00,70.33
16,15,0,Sfax,Tunis,dimanche,13:00,5.7
215,297,1,Ariana,Bizerte,dimanche,15:00,91.28
275,355,0,Tunis,Nabeul,jeudi,21:00,111.05
104,113,1,Tunis,Ariana,mercredi,06:00,43.72
247,223,0,Bizerte,Monastir,mercredi,07:00,100.4
34,31,0,Tunis,Ariana,samedi,18:00,20.98
21,28,1,Sousse,Nabeul,vendredi,15:00,14.74
29,30,1,Sfax,Sousse,jeudi,18:00,17.86
169,157,1,Tunis,Ariana,vendredi,16:00,69.52
296,247,0,Nabeul,Ariana,dimanche,13:00,117.83
275,254,1,Ariana,Tunis,dimanche,16:00,110.1
165,162,0,Sousse,Bizerte,samedi,14:00,68.23
272,330,1,Ariana,Tunis,jeudi,13:00,115.98
49,63,0,Sfax,Ariana,mardi,15:00,22.32
230,270,1,Tunis,Sousse,jeudi,07:00,100.71
125,130,1,Bizerte,Sousse,mercredi,16:00,53.35
16,17,1,Tunis,Sousse,dimanche,10:00,9.26
95,130,0,Bizerte,Ariana,mardi,20:00,40.89
71,77,1,Ariana,Nabeul,jeudi,09:00,31.28
74,73,1,Sousse,Bizerte,mardi,11:00,33.6
251,295,0,Tunis,Ariana,lundi,17:00,105.11
197,233,0,Tunis,Sfax,dimanche,11:00,80.55
265,227,1,Monastir,Ariana,vendredi,15:00,110.2
236,242,1,Nabeul,Sousse,mardi,11:00,94.84
51,64,0,Tunis,Sfax,jeudi,15:00,21.75
139,147,0,Sfax,Nabeul,mardi,14:00,56.25
