id_offre;titre;description;domaine;lieu;remuneration;duree;etat;visibilite;has_image;date_publication;description_length;titre_length;nb_postulations;nb_postulations_acceptees;nb_postulations_refusees;nb_favoris;has_entretien
11;Stage ingénieur qualité et certification - CI/CD / logistique (Bizerte #11);Nous recherchons un(e) stagiaire motivé(e) pour renforcer notre équipe. Contexte: stage 3 semaines, basé à Bizerte, sur un projet client à livrer en itérations. Collaboration quotidienne avec les équipes locales et, selon le projet, des partenaires internationaux. Missions principales: participer à un projet d'optimisation énergétique, assister l'équipe production sur l'amélioration des process, travailler sur des automatismes et capteurs (schémas, tests). Compétences attendues: Bases solides en mécanique/électrique/industriel selon profil. Capacité à analyser des données de tests et à documenter. Cadre de travail: méthode OKR, échanges en français, et objectifs mesurables. Vous participerez à la collecte de mesures, au respect des standards, et à la rédaction de notes techniques. Rémunération prévue: 1655 DT. Référence offre: TN-INT-0011. Merci d'envoyer votre CV et, si possible, des exemples de travaux (portfolio, GitHub, etc.).;Ingénierie;Bizerte;1655;3;disponible;1;1;2025-12-16;944;75;43;10;12;72;1
12;Stage ingénieur énergie et efficacité - Kubernetes (Tunis #12);Opportunité de stage au sein d'une structure en croissance, orientée résultats. Contexte: stage 17 semaines, basé à Tunis, sur un tableau de bord KPI multi-sites. Vous évoluerez dans une équipe structurée avec des rituels Agile et des objectifs clairs. Missions principales: mettre en place des démarches qualité et plans de contrôle, participer à la conception et au dimensionnement de pièces/systèmes, travailler sur des automatismes et capteurs (schémas, tests), contribuer à la maintenance préventive et corrective. Compétences attendues: Bases solides en mécanique/électrique/industriel selon profil. CAO/DAO (SolidWorks/AutoCAD) est un plus. Cadre de travail: méthode design thinking, échanges en anglais, et objectifs mesurables. Vous participerez à la collecte de mesures, au respect des standards, et à la rédaction de notes techniques. Rémunération prévue: 1900 DT. Référence offre: TN-INT-0012. Merci d'envoyer votre CV et, si possible, des exemples de travaux (portfolio, GitHub, etc.).;Ingénierie;Tunis;1900;17;disponible;1;1;2024-05-24;998;62;42;14;5;77;0
13;Stage e-commerce et marketplace - SaaS / tourisme (Ariana #13);Stage passionnant dans un environnement bienveillant et exigeant. Contexte: stage 12 semaines, basé à Ariana, sur une refonte de site vitrine orientée conversion. Vous travaillerez avec une équipe pluridisciplinaire (produit, technique, métier) et un tuteur dédié. Missions principales: gérer une partie du portefeuille clients et la satisfaction, réaliser des démonstrations produit avec l'équipe, préparer des offres commerciales et supports de vente. Compétences attendues: Maîtrise du français, l'anglais est un plus. Bonne organisation et suivi (CRM). Cadre de travail: méthode Agile, échanges en français, et objectifs mesurables. Vous développerez votre approche commerciale, du premier contact à la proposition, avec suivi dans un CRM. Rémunération prévue: 969 DT. Référence offre: TN-INT-0013. Nous valorisons la curiosité, la rigueur et la capacité à apprendre rapidement.;Commerce;Ariana;969;12;disponible;0;1;2024-12-17;882;62;16;6;4;32;1
14;Stage recrutement et sélection - Paie / assurance (Sfax #14);Rejoignez notre équipe en tant que stagiaire et participez à des projets concrets. Contexte: stage 5 semaines, basé à Sfax, sur un pilote d'automatisation de process. Vous travaillerez avec une équipe pluridisciplinaire (produit, technique, métier) et un tuteur dédié. Missions principales: aider à la rédaction de procédures et supports internes, suivre des indicateurs RH et produire des tableaux de bord, contribuer à la préparation de la paie (données variables). Compétences attendues: Bon relationnel, organisation et discrétion. Aisance sur Excel et outils bureautiques. Cadre de travail: méthode Lean, échanges en français, et objectifs mesurables. Vous serez sensibilisé(e) à la confidentialité, au suivi des processus et à l'expérience candidat/collaborateur. Rémunération prévue: 1078 DT. Référence offre: TN-INT-0014. Vous gagnerez une expérience solide et directement valorisable sur le marché tunisien.;RH;Sfax;1078;5;disponible;0;0;2024-05-01;916;60;14;4;1;30;0
15;Stage motion designer vidéo et animation - Print / tourisme (Sousse #15);Opportunité de stage au sein d'une structure en croissance, orientée résultats. Contexte: stage 10 semaines, basé à Sousse, sur une plateforme e-commerce. Encadré(e) par un mentor, vous aurez une autonomie progressive et des feedbacks hebdomadaires. Missions principales: décliner une identité visuelle sur différents supports, réaliser des animations courtes pour vidéos et stories, concevoir des maquettes UI/UX (wireframes, prototypes). Compétences attendues: Bonne connaissance de Photoshop/Illustrator ou équivalents. Sens du détail, typographie et cohérence visuelle. Cadre de travail: méthode OKR, échanges en anglais, et objectifs mesurables. Vous travaillerez sur des versions successives de maquettes et livrables, avec tests rapides et itérations suite aux retours. Rémunération prévue: 1217 DT. Référence offre: TN-INT-0015. Ce stage peut déboucher sur une proposition de pré-embauche selon performance et besoins.;Design;Sousse;1217;10;disponible;1;1;2025-05-20;926;72;18;4;5;41;1
16;Stage content marketing et rédaction web - B2C / énergie (Bizerte #16);Rejoignez notre équipe en tant que stagiaire et participez à des projets concrets. Contexte: stage 3 semaines, basé à Bizerte, sur une application de gestion interne. Encadré(e) par un mentor, vous aurez une autonomie progressive et des feedbacks hebdomadaires. Missions principales: lancer et optimiser des campagnes Facebook Ads et Google Ads, suivre les KPIs et produire des reportings hebdomadaires, animer une communauté et gérer la relation avec les abonnés. Compétences attendues: Aisance rédactionnelle et sens de la communication. Créativité, autonomie et esprit d'équipe. Cadre de travail: méthode OKR, échanges en anglais, et objectifs mesurables. Vous apprendrez à construire des messages, segmenter l'audience et interpréter les données de performance pour améliorer le ROI. Rémunération prévue: 1272 DT. Référence offre: TN-INT-0016. Ce stage peut déboucher sur une proposition de pré-embauche selon performance et besoins.;Marketing;Bizerte;1272;3;disponible;1;1;2024-12-09;937;70;31;3;2;48;0
17;Stage designer graphique print et digital - Figma / éducation (Sousse #17);Dans le cadre de l'accélération de nos projets, nous recrutons un(e) stagiaire. Contexte: stage 2 semaines, basé à Sousse, sur une application de gestion interne. Ambiance startup, cycles courts, et forte culture d'amélioration continue. Missions principales: préparer des assets pour le web et le print, réaliser des animations courtes pour vidéos et stories, produire un mini design system (typo, couleurs, composants). Compétences attendues: Maîtrise de Figma et des bases de la conception UI/UX. Capacité à itérer rapidement à partir de feedback. Cadre de travail: méthode Lean, échanges en français, et objectifs mesurables. Vous travaillerez sur des versions successives de maquettes et livrables, avec tests rapides et itérations suite aux retours. Rémunération prévue: 1124 DT. Référence offre: TN-INT-0017. Une attestation de stage et une lettre de recommandation peuvent être délivrées en fin de mission.;Design;Sousse;1124;2;indisponible;1;0;2025-06-13;914;74;22;5;4;58;1
18;Stage sales operations - Retail (Sousse #18);Opportunité de stage au sein d'une structure en croissance, orientée résultats. Contexte: stage 1 semaines, basé à Sousse, sur une application de gestion interne. Vous travaillerez avec une équipe pluridisciplinaire (produit, technique, métier) et un tuteur dédié. Missions principales: suivre le pipeline CRM et relancer les prospects, réaliser des démonstrations produit avec l'équipe, participer à des salons et rendez-vous clients. Compétences attendues: Bonne organisation et suivi (CRM). Maîtrise du français, l'anglais est un plus. Cadre de travail: méthode Agile, échanges en anglais, et objectifs mesurables. Vous développerez votre approche commerciale, du premier contact à la proposition, avec suivi dans un CRM. Rémunération prévue: 987 DT. Référence offre: TN-INT-0018. Merci d'envoyer votre CV et, si possible, des exemples de travaux (portfolio, GitHub, etc.).;Commerce;Sousse;987;1;disponible;1;1;2025-12-15;876;44;16;5;1;33;1
19;Stage ingénieur électrique et automatismes - Tableau (Bizerte #19);Nous recherchons un(e) stagiaire motivé(e) pour renforcer notre équipe. Contexte: stage 4 semaines, basé à Bizerte, sur une refonte de site vitrine orientée conversion. Encadré(e) par un mentor, vous aurez une autonomie progressive et des feedbacks hebdomadaires. Missions principales: suivre des essais, mesures et rédaction de rapports techniques, mettre en place des démarches qualité et plans de contrôle, participer à un projet d'optimisation énergétique. Compétences attendues: Bases solides en mécanique/électrique/industriel selon profil. Lecture de plans, rigueur et respect des consignes sécurité. Cadre de travail: méthode Kanban, échanges en français, et objectifs mesurables. Vous participerez à la collecte de mesures, au respect des standards, et à la rédaction de notes techniques. Rémunération prévue: 1660 DT. Référence offre: TN-INT-0019. Vous gagnerez une expérience solide et directement valorisable sur le marché tunisien.;Ingénierie;Bizerte;1660;4;indisponible;1;1;2024-12-30;944;66;40;13;10;93;1
20;Stage fiscalité et déclarations - Photoshop (Sfax #20);Nous recherchons un(e) stagiaire motivé(e) pour renforcer notre équipe. Contexte: stage 18 semaines, basé à Sfax, sur une application de gestion interne. Ambiance startup, cycles courts, et forte culture d'amélioration continue. Missions principales: mettre à jour des tableaux de trésorerie et prévisions, assister à la clôture mensuelle et à la documentation, préparer des rapprochements bancaires et états financiers. Compétences attendues: Bonne maîtrise d'Excel et rigueur sur les chiffres. Power BI ou SQL est un plus. Cadre de travail: méthode Agile, échanges en anglais, et objectifs mesurables. Vous contribuerez à fiabiliser les chiffres, documenter les hypothèses et produire des synthèses compréhensibles pour la direction. Rémunération prévue: 1700 DT. Référence offre: TN-INT-0020. Ce stage peut déboucher sur une proposition de pré-embauche selon performance et besoins.;Finance;Sfax;1700;18;indisponible;1;1;2025-03-31;885;54;24;7;5;42;1
21;Stage CRM & emailing - B2B (Sfax #21);Stage passionnant dans un environnement bienveillant et exigeant. Contexte: stage 4 semaines, basé à Sfax, sur un outil de reporting décisionnel. Vous évoluerez dans une équipe structurée avec des rituels Agile et des objectifs clairs. Missions principales: mettre en place des workflows d'emailing et de nurturing, suivre les KPIs et produire des reportings hebdomadaires, tester des messages et visuels via A/B testing. Compétences attendues: Aisance rédactionnelle et sens de la communication. Créativité, autonomie et esprit d'équipe. Cadre de travail: méthode Lean, échanges en anglais, et objectifs mesurables. Vous apprendrez à construire des messages, segmenter l'audience et interpréter les données de performance pour améliorer le ROI. Rémunération prévue: 1271 DT. Référence offre: TN-INT-0021. Une attestation de stage et une lettre de recommandation peuvent être délivrées en fin de mission.;Marketing;Sfax;1271;4;disponible;1;0;2024-03-20;904;37;27;7;4;62;1
22;Stage growth marketing - Acquisition / banque (Remote #22);Opportunité de stage au sein d'une structure en croissance, orientée résultats. Contexte: stage 21 semaines, basé à Remote, sur une application de gestion interne. Ambiance startup, cycles courts, et forte culture d'amélioration continue. Missions principales: planifier et publier du contenu sur les réseaux sociaux, lancer et optimiser des campagnes Facebook Ads et Google Ads, réaliser une étude de marché et des personas. Compétences attendues: Notions de SEO/SEA et capacité à interpréter des KPIs. Créativité, autonomie et esprit d'équipe. Cadre de travail: méthode design thinking, échanges en anglais, et objectifs mesurables. Vous apprendrez à construire des messages, segmenter l'audience et interpréter les données de performance pour améliorer le ROI. Rémunération prévue: 1394 DT. Référence offre: TN-INT-0022. Merci d'envoyer votre CV et, si possible, des exemples de travaux (portfolio, GitHub, etc.).;Marketing;Remote;1394;21;disponible;1;1;2025-04-28;916;58;31;3;3;70;1
23;Stage fiscalité et déclarations - CI/CD / santé (Ariana #23);Nous recherchons un(e) stagiaire motivé(e) pour renforcer notre équipe. Contexte: stage 5 semaines, basé à Ariana, sur une plateforme e-commerce. Ambiance startup, cycles courts, et forte culture d'amélioration continue. Missions principales: analyser des indicateurs de rentabilité et coûts, contribuer à des missions d'audit et de contrôle interne, automatiser des reportings sur Excel/Power BI. Compétences attendues: Bonne maîtrise d'Excel et rigueur sur les chiffres. Connaissance des bases comptables et du reporting. Cadre de travail: méthode design thinking, échanges en français, et objectifs mesurables. Vous contribuerez à fiabiliser les chiffres, documenter les hypothèses et produire des synthèses compréhensibles pour la direction. Rémunération prévue: 1512 DT. Référence offre: TN-INT-0023. Nous valorisons la curiosité, la rigueur et la capacité à apprendre rapidement.;Finance;Ariana;1512;5;disponible;0;1;2024-08-06;885;60;46;18;3;81;1
24;Stage account manager - Acquisition / banque (Sousse #24);Nous recherchons un(e) stagiaire motivé(e) pour renforcer notre équipe. Contexte: stage 16 semaines, basé à Sousse, sur une refonte de site vitrine orientée conversion. Collaboration quotidienne avec les équipes locales et, selon le projet, des partenaires internationaux. Missions principales: analyser les ventes et recommander des actions, suivre le pipeline CRM et relancer les prospects, prospecter des entreprises et qualifier des leads. Compétences attendues: Maîtrise du français, l'anglais est un plus. Sens de la négociation et orientation résultats. Cadre de travail: méthode Kanban, échanges en français, et objectifs mesurables. Vous développerez votre approche commerciale, du premier contact à la proposition, avec suivi dans un CRM. Rémunération prévue: 1179 DT. Référence offre: TN-INT-0024. Nous valorisons la curiosité, la rigueur et la capacité à apprendre rapidement.;Commerce;Sousse;1179;16;disponible;1;1;2024-10-29;888;57;13;3;3;30;1
25;Stage account manager - Branding / immobilier (Remote #25);Dans le cadre de l'accélération de nos projets, nous recrutons un(e) stagiaire. Contexte: stage 7 semaines, basé à Remote, sur un pilote d'automatisation de process. Vous travaillerez avec une équipe pluridisciplinaire (produit, technique, métier) et un tuteur dédié. Missions principales: analyser les ventes et recommander des actions, réaliser des démonstrations produit avec l'équipe, préparer des offres commerciales et supports de vente. Compétences attendues: Sens de la négociation et orientation résultats. Goût du contact et aisance à l'oral. Cadre de travail: méthode OKR, échanges en anglais, et objectifs mesurables. Vous développerez votre approche commerciale, du premier contact à la proposition, avec suivi dans un CRM. Rémunération prévue: 847 DT. Référence offre: TN-INT-0025. Nous valorisons la curiosité, la rigueur et la capacité à apprendre rapidement.;Commerce;Remote;847;7;indisponible;0;1;2024-07-13;875;58;18;2;1;39;0
26;Stage designer identité visuelle - UX (Ariana #26);Rejoignez notre équipe en tant que stagiaire et participez à des projets concrets. Contexte: stage 3 semaines, basé à Ariana, sur une application de gestion interne. Encadré(e) par un mentor, vous aurez une autonomie progressive et des feedbacks hebdomadaires. Missions principales: créer des visuels pour les réseaux sociaux et campagnes, décliner une identité visuelle sur différents supports, produire un mini design system (typo, couleurs, composants). Compétences attendues: Bonne connaissance de Photoshop/Illustrator ou équivalents. Sens du détail, typographie et cohérence visuelle. Cadre de travail: méthode design thinking, échanges en anglais, et objectifs mesurables. Vous travaillerez sur des versions successives de maquettes et livrables, avec tests rapides et itérations suite aux retours. Rémunération prévue: 1235 DT. Référence offre: TN-INT-0026. Ce stage peut déboucher sur une proposition de pré-embauche selon performance et besoins.;Design;Ariana;1235;3;disponible;0;1;2024-02-15;955;50;32;11;4;80;1
27;Stage account manager - Retail / retail (Bizerte #27);Opportunité de stage au sein d'une structure en croissance, orientée résultats. Contexte: stage 15 semaines, basé à Bizerte, sur une refonte de site vitrine orientée conversion. Collaboration quotidienne avec les équipes locales et, selon le projet, des partenaires internationaux. Missions principales: réaliser des démonstrations produit avec l'équipe, participer à des salons et rendez-vous clients, préparer des offres commerciales et supports de vente, analyser les ventes et recommander des actions. Compétences attendues: Goût du contact et aisance à l'oral. Maîtrise du français, l'anglais est un plus. Cadre de travail: méthode Kanban, échanges en anglais, et objectifs mesurables. Vous développerez votre approche commerciale, du premier contact à la proposition, avec suivi dans un CRM. Rémunération prévue: 1220 DT. Référence offre: TN-INT-0027. Merci d'envoyer votre CV et, si possible, des exemples de travaux (portfolio, GitHub, etc.).;Commerce;Bizerte;1220;15;disponible;1;1;2025-11-24;950;53;21;8;5;44;1
28;Stage cybersécurité SOC - GitLab / santé (Tunis #28);Nous recherchons un(e) stagiaire motivé(e) pour renforcer notre équipe. Contexte: stage 18 semaines, basé à Tunis, sur un projet client à livrer en itérations. Vous travaillerez avec une équipe pluridisciplinaire (produit, technique, métier) et un tuteur dédié. Missions principales: mettre en place des pipelines CI/CD et des environnements Docker, améliorer les performances et la qualité du code (tests, refactor), analyser des données et produire des tableaux de bord. Compétences attendues: Une expérience avec Docker ou Linux est un plus. Connaissance d'un framework (Django/FastAPI) et de SQL. Cadre de travail: méthode design thinking, échanges en français, et objectifs mesurables. Vous manipulerez des environnements de développement, des revues de code, et des tickets Jira/Trello selon l'organisation. Rémunération prévue: 1800 DT. Référence offre: TN-INT-0028. Vous gagnerez une expérience solide et directement valorisable sur le marché tunisien.;Informatique;Tunis;1800;18;indisponible;0;1;2024-10-14;960;52;47;16;5;81;0
29;Stage recrutement et sélection - Formation / retail (Tunis #29);Stage passionnant dans un environnement bienveillant et exigeant. Contexte: stage 2 semaines, basé à Tunis, sur un pilote d'automatisation de process. Vous évoluerez dans une équipe structurée avec des rituels Agile et des objectifs clairs. Missions principales: suivre des indicateurs RH et produire des tableaux de bord, assister les managers sur les besoins en recrutement, participer à la mise en place d'un plan de formation, sourcer des candidats et organiser des entretiens de présélection. Compétences attendues: Aisance sur Excel et outils bureautiques. Intérêt pour le recrutement, la formation et les processus. Cadre de travail: méthode Lean, échanges en français, et objectifs mesurables. Vous serez sensibilisé(e) à la confidentialité, au suivi des processus et à l'expérience candidat/collaborateur. Rémunération prévue: 1300 DT. Référence offre: TN-INT-0029. Nous valorisons la curiosité, la rigueur et la capacité à apprendre rapidement.;RH;Tunis;1300;2;disponible;0;1;2025-05-22;954;63;28;6;5;59;1
30;Stage DevOps Engineer - MongoDB / retail / e-commerce (Sfax #30);Rejoignez notre équipe en tant que stagiaire et participez à des projets concrets. Contexte: stage 2 semaines, basé à Sfax, sur un outil de reporting décisionnel. Collaboration quotidienne avec les équipes locales et, selon le projet, des partenaires internationaux. Missions principales: contribuer à un module d'authentification et gestion des rôles, mettre en place des pipelines CI/CD et des environnements Docker, concevoir des scripts d'automatisation et de monitoring. Compétences attendues: Connaissance d'un framework (Django/FastAPI) et de SQL. Une expérience avec Docker ou Linux est un plus. Cadre de travail: méthode design thinking, échanges en anglais, et objectifs mesurables. Vous manipulerez des environnements de développement, des revues de code, et des tickets Jira/Trello selon l'organisation. Rémunération prévue: 1551 DT. Référence offre: TN-INT-0030. Nous valorisons la curiosité, la rigueur et la capacité à apprendre rapidement.;Informatique;Sfax;1551;2;disponible;1;1;2025-11-21;955;64;43;16;9;80;0
31;Stage recrutement et sélection - Talent (Sousse #31);Nous recherchons un(e) stagiaire motivé(e) pour renforcer notre équipe. Contexte: stage 6 semaines, basé à Sousse, sur un module de réservation et paiement. Ambiance startup, cycles courts, et forte culture d'amélioration continue. Missions principales: mettre à jour la base RH et les dossiers administratifs, sourcer des candidats et organiser des entretiens de présélection, suivre des indicateurs RH et produire des tableaux de bord. Compétences attendues: Capacité à gérer plusieurs sujets en parallèle. Aisance sur Excel et outils bureautiques. Cadre de travail: méthode Agile, échanges en français, et objectifs mesurables. Vous serez sensibilisé(e) à la confidentialité, au suivi des processus et à l'expérience candidat/collaborateur. Rémunération prévue: 1151 DT. Référence offre: TN-INT-0031. Une attestation de stage et une lettre de recommandation peuvent être délivrées en fin de mission.;RH;Sousse;1151;6;disponible;0;0;2024-12-26;902;52;11;4;1;29;1
